Region,District,Map_link
Arusha,Arumeru District council,https://drive.google.com/file/d/1FDMH8-Cz5PEeh8j34v8YZ_7ZWfQ48XdN/view?usp=drive_link
Arusha,Arusha City Council,https://drive.google.com/file/d/1mFsNOS8GwWnVpzpPL5uHvFwDi0EjIe1K/view?usp=drive_link
Arusha,Arusha District council,https://drive.google.com/file/d/1KZRMegr1DQdepdl8TqtVPgL1VRO7V8lU/view?usp=drive_link
Arusha,Karatu District council,https://drive.google.com/file/d/1r3aj11ByWxj-nRbLUBqmYYotrHIl1jff/view?usp=drive_link
Arusha,Longido District council,https://drive.google.com/file/d/1-4lkygWMnfBUAKQ5KmazZFJJQQH9vR95/view?usp=drive_link
Arusha,Monduli District council,https://drive.google.com/file/d/1AgZAxupCQ-7j3kASlAcnonhqArlrCNHl/view?usp=drive_link
Arusha,Ngorongoro District council,https://drive.google.com/file/d/1s1ztJzRMQMY-64Mfw17159zyUFcPfa6U/view?usp=drive_link
Dar es Salaam,Ilala Municipal council,https://drive.google.com/file/d/1G0tS6-0CIgK_Gw4FhuoX_cM4lwvoJPWA/view?usp=drive_link
Dar es Salaam,Kigamboni Municipal council,https://drive.google.com/file/d/1j8CmQvsP82fuF1jIk5oPd1S5VAZIq5KG/view?usp=drive_link
Dar es Salaam,Kinondoni Municipal council,https://drive.google.com/file/d/14JehyITLivc2wNTojD5AlqxNtkhYDbe9/view?usp=drive_link
Dar es Salaam,Temeke Municipal council,https://drive.google.com/file/d/10m4yyToVDAUdkKo5K65ZCZfLc121Z_bw/view?usp=drive_link
Dar es Salaam,Ubungo Municipal council,https://drive.google.com/file/d/1RDnkAr22En4qeeUo-yk9MKGH1wOnonob/view?usp=drive_link
Dodoma,Bahi District council,https://drive.google.com/file/d/1g6X2NtCOP5qFHkZLSlvwx5fI2dcnt7uF/view?usp=drive_link
Dodoma,Chamwino District council,https://drive.google.com/file/d/15O2LwYeDZ9dQl60REt2wdMdtZbYnuuDV/view?usp=drive_link
Dodoma,Chemba District council,https://drive.google.com/file/d/1hO2AXdbIje3LMrabG82qo9pszEAz2Bqw/view?usp=drive_link
Dodoma,Dodoma City Council,https://drive.google.com/file/d/1w2eRTsfw0PbsGEqB8Q5vHSqjBdk_iXwA/view?usp=drive_link
Dodoma,Kondoa District council,https://drive.google.com/file/d/1gXtY00aZ8wI_cgn44gfj2odF_bzDoKUg/view?usp=drive_link
Dodoma,Kondoa Town council,https://drive.google.com/file/d/1CZvdPOMKVJm2mk-QPC9c0rrGTgjTH8HF/view?usp=drive_link
Dodoma,Kongwa District council,https://drive.google.com/file/d/1Bf5rTUK-Hn2CWX7l9KbdIM5wFPjRFNxN/view?usp=drive_link
Dodoma,Mpwapwa District council,https://drive.google.com/file/d/18Uot2mZb6MBxuFU2WM8zvau0RQDTUc6Q/view?usp=drive_link
Geita,Bukombe District council,https://drive.google.com/file/d/1D1wP986Us9Tw_NPfZphZh80c_plnAxrv/view?usp=drive_link
Geita,Chato District council,https://drive.google.com/file/d/149YACcqPzVnX0PSVFSfHbf6MOULE1iTL/view?usp=drive_link
Geita,Geita District council,https://drive.google.com/file/d/1SAHo1-Nr3ZRylgGPwza-FzHMKp-XMi5U/view?usp=drive_link
Geita,Geita Town council,https://drive.google.com/file/d/1gXXuSscb42JrsbWnh8XXDBdgd4tbX6pH/view?usp=drive_link
Geita,Mbogwe District council,https://drive.google.com/file/d/1QtOmB8zY_KrkLY9lMwkoCfSHufM0hzkw/view?usp=drive_link
Geita,Nyang'hwale District council,https://drive.google.com/file/d/1Z-QKVL5cyi_U0OmRqCrm_lhwKGIQBYsw/view?usp=drive_link
Iringa,Iringa District council,https://drive.google.com/file/d/1TVAgA8h5XV5ISWeF2Vye1pELJ4JU293-/view?usp=drive_link
Iringa,Iringa Municipal council,https://drive.google.com/file/d/1ojPiAQgIGKuKZhJz9SZFHtY2WJ-BJtPZ/view?usp=drive_link
Iringa,Kilolo District council,https://drive.google.com/file/d/1FY_06Rt_RExf-yPmH_Khg318Ve2ctEvR/view?usp=drive_link
Iringa,Mafinga Town council,https://drive.google.com/file/d/1ngTvKD08xvL3hxjng7a__ThvConHlpko/view?usp=drive_link
Iringa,Mufindi District council,https://drive.google.com/file/d/19Gs49Sx2pafHhhsiE_DulXKmyWpEo5_p/view?usp=drive_link
